"type","x","y","z","vx","vy","vz","fx","fy","fz","omegax","omegay","omegaz","radius"
0,0.695655,-1.20422,0.0299504,-7.08E-14,-6.88E-16,3.32E-15,2.67E-11,2.44E-13,0,9.89E-15,-9.99E-13,-0.756141,0.03
0,0.811076,-1.22436,0.0299501,1.14E-08,2.25E-08,2.77E-09,-8.77E-07,-9.89E-07,-8.25E-07,-3.67E-07,1.79E-07,5.43E-07,0.03
0,-0.815052,-1.1851,0.0299537,1.72E-08,-4.33E-08,6.25E-08,1.15E-05,5.20E-06,-4.76E-06,2.01E-06,4.20E-07,-4.32E-06,0.03
0,-0.686151,-1.20051,0.0299346,2.66E-06,-1.77E-07,9.06E-07,-0.000248544,-3.55E-05,-7.92E-05,-1.34E-08,4.74E-05,-6.48E-06,0.03
0,-0.499076,-1.19303,0.046446,4.71E-06,4.66E-06,1.11E-06,-0.00038517,-0.000290165,-2.91E-05,-9.54E-05,-2.00E-05,5.65E-05,0.03
0,-0.443864,-1.17662,0.0298841,3.87E-06,4.55E-06,1.16E-06,-0.00027956,-0.000252621,8.68E-05,-7.31E-05,4.13E-05,-4.06E-05,0.03
0,-0.30568,-1.17109,0.0299022,3.49E-06,1.00E-07,1.65E-06,-0.000123914,-0.000257906,0.000366214,2.82E-05,7.70E-05,-0.00013305,0.03
0,-0.0858875,-1.19042,0.0299113,1.65E-06,-1.20E-06,-1.85E-07,-2.77E-05,0.000100043,5.78E-05,2.87E-05,2.14E-05,-1.22E-05,0.03
0,0.305182,-1.1908,0.0299088,-1.90E-06,-5.84E-07,-5.14E-08,-8.20E-05,-4.80E-05,2.74E-05,1.67E-05,-2.81E-05,3.43E-05,0.03
0,0.373912,-1.20186,0.0299157,-1.53E-06,-7.38E-07,4.49E-08,-6.38E-05,1.48E-05,-1.43E-05,1.03E-05,-2.28E-05,1.38E-05,0.03
