"type","x","y","z","vx","vy","vz","fx","fy","fz","omegax","omegay","omegaz","radius"
1,-1.18984,-1.19772,0.0199747,-5.39E-44,-4.90E-44,-3.06E-15,-3.99E-42,-3.63E-42,0,1.52E-42,-1.67E-42,-12.6665,0.02
1,-0.895512,-1.19896,0.0199748,-4.21E-09,-7.45E-09,2.42E-09,1.49E-06,9.08E-08,2.53E-07,2.40E-07,-1.31E-07,-5.84E-07,0.02
1,-0.863097,-1.17555,0.0199728,-2.70E-09,-1.23E-08,2.14E-08,1.71E-06,1.51E-06,-6.33E-07,3.02E-07,-2.54E-07,4.89E-07,0.02
1,-0.620729,-1.1719,0.0199347,2.39E-06,2.11E-06,7.05E-07,-6.64E-05,-3.67E-05,-6.38E-06,-5.36E-05,6.10E-05,4.13E-05,0.02
1,-0.395906,-1.18638,0.0199057,2.66E-06,2.31E-06,9.30E-07,-5.92E-05,-2.56E-05,5.99E-05,-5.59E-05,2.99E-05,-4.43E-05,0.02
1,0.0134713,-1.1934,0.0199119,-7.48E-07,1.45E-06,-1.05E-06,-2.40E-05,2.52E-05,-6.59E-06,-5.56E-05,-2.78E-05,0.000116968,0.02
1,0.15046,-1.18966,0.0346901,-1.84E-06,2.51E-06,7.80E-07,-3.00E-05,2.34E-05,1.70E-05,2.38E-05,2.56E-05,-2.62E-05,0.02
1,0.187293,-1.19433,0.0199516,-1.42E-06,1.01E-06,7.97E-08,-2.20E-05,1.16E-05,5.39E-06,-2.98E-05,-1.91E-05,-3.18E-05,0.02
1,0.222043,-1.17463,0.0199611,-1.40E-06,2.64E-07,-8.43E-08,-2.04E-05,6.39E-06,2.95E-06,-2.00E-05,-2.88E-05,-6.48E-06,0.02
1,0.503705,-1.2023,0.0199265,1.84E-07,-8.77E-07,-4.80E-07,-3.23E-05,1.73E-05,1.67E-05,1.68E-05,-3.59E-06,3.75E-08,0.02
1,0.75104,-1.18346,0.0199747,-1.91E-18,1.93E-18,5.97E-15,5.09E-16,-6.03E-16,0,-2.81E-17,-3.16E-17,2.28473,0.02
1,0.876935,-1.17089,0.0199747,6.18E-45,-2.79E-44,-3.07E-15,1.50E-42,-6.79E-42,0,1.06E-42,2.36E-43,-1.40754,0.02
1,-0.830819,-1.13875,0.0199669,4.04E-07,1.99E-07,3.87E-07,-2.76E-06,-2.63E-06,-8.92E-06,4.31E-06,3.67E-06,-1.39E-05,0.02
1,-0.710792,-1.15662,0.0199381,-6.38E-06,6.52E-06,7.14E-07,-6.33E-05,1.00E-04,1.34E-05,-0.000257892,-0.000292412,0.000793333,0.02
1,-0.255365,-1.16762,0.0199625,1.50E-06,-1.51E-06,5.51E-07,-2.64E-05,-3.26E-05,3.19E-05,4.18E-05,4.17E-05,-1.33E-05,0.02
1,0.0606693,-1.14821,0.0199747,1.98E-26,-8.26E-28,-1.21E-14,2.07E-25,-8.63E-27,0,2.34E-26,5.60E-25,-1.62674,0.02
1,0.170186,-1.15735,0.0199257,-2.15E-06,1.07E-06,1.41E-06,-4.09E-05,1.07E-05,2.01E-05,-2.94E-05,-5.92E-05,1.22E-05,0.02
1,0.468342,-1.1571,0.0198664,-1.80E-06,-5.41E-07,-2.46E-09,-5.18E-06,-1.84E-06,1.41E-05,1.31E-05,-4.80E-05,3.57E-05,0.02
1,-0.726996,-1.11942,0.0199732,-1.47E-06,2.11E-06,-3.53E-07,-1.64E-05,3.06E-05,-9.81E-06,-5.75E-05,-3.31E-05,4.48E-05,0.02
1,-0.594818,-1.1356,0.0199742,-4.01E-07,-2.77E-06,-1.14E-06,-2.77E-06,5.41E-05,3.41E-05,5.66E-05,-2.08E-05,-7.42E-06,0.02
1,-0.48677,-1.13674,0.019897,6.20E-06,4.22E-06,1.53E-06,-0.000108127,-6.95E-05,2.66E-05,-0.000105505,0.000180887,5.74E-05,0.02
1,-0.401351,-1.11965,0.0199651,5.35E-06,2.23E-06,2.27E-06,-6.26E-05,-4.32E-05,0.000115965,-2.91E-05,0.000148436,-7.77E-05,0.02
1,-0.283542,-1.12421,0.0199071,3.87E-06,-5.11E-09,2.73E-06,-3.58E-05,-3.86E-05,0.000158413,2.08E-06,0.000121512,-7.48E-05,0.02
1,-0.243929,-1.12931,0.0199029,2.47E-06,-1.46E-06,2.21E-06,-6.24E-05,5.82E-06,7.01E-05,4.58E-05,5.32E-06,-3.12E-05,0.02
1,0.85567,-1.12642,0.0199736,2.27E-07,2.36E-08,-1.53E-07,-9.01E-07,-9.24E-07,-3.07E-07,-2.89E-06,3.32E-06,-1.03E-05,0.02
1,1.66039,-1.11668,0.0199747,9.98E-67,-3.10E-67,-1.21E-14,8.31E-64,-2.58E-64,0,1.95E-65,6.29E-65,-4.17508,0.02
1,-0.87655,-1.08647,0.0199704,5.32E-07,1.66E-07,1.86E-07,-2.50E-05,-1.64E-05,-1.16E-05,-3.30E-06,1.67E-06,1.43E-05,0.02
1,-0.838823,-1.0996,0.0199645,1.21E-06,3.49E-07,4.99E-07,-4.96E-05,-2.13E-05,-2.83E-05,-1.00E-05,7.73E-06,-1.96E-05,0.02
1,-0.578558,-1.08356,0.0199612,3.02E-06,2.48E-06,1.21E-06,-3.98E-05,-4.45E-05,1.67E-05,-8.21E-05,7.29E-05,-0.000575344,0.02
1,-0.357509,-1.10171,0.0199096,4.56E-06,1.74E-06,3.60E-06,-4.66E-05,-3.56E-05,0.000158981,1.17E-05,0.000109634,-5.30E-05,0.02
1,-0.300782,-1.07564,0.0198538,4.87E-06,-8.06E-07,2.55E-06,-6.78E-05,7.69E-06,0.00022225,1.23E-05,0.000100792,-7.87E-05,0.02
1,0.366909,-1.08193,0.0199607,-9.73E-07,-1.24E-06,8.53E-07,-2.68E-06,-1.54E-05,2.81E-06,2.39E-05,-3.77E-05,-3.10E-06,0.02
1,0.570494,-1.0993,0.0199679,9.63E-05,-1.51E-05,-9.76E-07,0.00355647,-0.00050674,2.67E-07,0.000556551,0.00361241,0.0493083,0.02
1,-0.887328,-1.04801,0.0199729,7.16E-08,4.26E-08,1.33E-07,2.83E-06,-9.25E-06,-3.29E-06,1.84E-06,1.72E-06,3.98E-06,0.02
1,-0.724645,-1.04279,0.0199636,2.35E-06,-4.82E-07,1.39E-06,-1.05E-05,4.47E-05,-3.31E-05,6.54E-06,6.38E-05,-0.000217193,0.02
1,-0.53993,-1.0491,0.01981,4.04E-06,2.25E-06,1.37E-06,-4.94E-05,-2.37E-05,7.47E-05,-2.69E-05,0.000124818,4.50E-07,0.02
1,-0.442819,-1.05113,0.0199735,3.51E-06,1.03E-06,1.94E-06,-4.10E-05,-2.99E-05,5.95E-05,-4.65E-05,5.14E-05,-1.19E-05,0.02
1,-0.201803,-1.06412,0.0198982,2.19E-07,-3.31E-06,2.02E-06,-0.00013035,4.84E-05,9.43E-05,0.000105857,2.01E-06,-7.86E-05,0.02
1,-0.123069,-1.06574,0.0199008,8.30E-07,-8.19E-07,2.99E-06,-5.42E-05,1.91E-05,5.41E-05,1.72E-05,5.47E-05,3.45E-05,0.02
1,0.0136666,-1.06614,0.0198935,-7.38E-07,4.59E-06,-1.67E-06,-4.66E-05,3.77E-06,5.23E-05,-3.03E-05,-9.72E-06,2.52E-05,0.02
1,0.0762693,-1.05471,0.0198897,-1.19E-06,1.26E-06,6.76E-07,-5.97E-05,1.26E-05,6.61E-06,-4.51E-05,-3.54E-05,-2.11E-06,0.02
1,0.150196,-1.06559,0.0199714,-5.09E-07,6.58E-07,2.23E-07,-1.87E-05,-2.38E-06,-4.45E-06,-2.40E-06,-5.21E-06,1.04E-05,0.02
1,0.291051,-1.04847,0.0199747,1.07E-35,5.03E-35,-3.07E-15,8.76E-34,4.10E-33,0,-1.57E-33,3.36E-34,-0.271224,0.02
1,0.340111,-1.05227,0.0198126,-6.29E-07,-1.48E-06,8.69E-07,7.13E-06,-1.13E-05,2.53E-06,5.11E-05,-2.74E-05,-1.79E-05,0.02
1,0.670442,-1.05048,0.0198616,1.31E-07,-5.68E-07,-1.22E-06,1.89E-06,-2.09E-06,2.04E-05,1.90E-05,-4.32E-06,4.36E-05,0.02
1,0.71036,-1.05283,0.0199723,5.24E-08,2.02E-09,-3.42E-07,-2.12E-06,4.23E-06,6.68E-06,-8.15E-07,-5.13E-06,-1.03E-05,0.02
1,0.936355,-1.05924,0.0199734,3.21E-07,3.63E-07,8.13E-08,-2.80E-05,-1.52E-05,9.34E-07,-3.60E-06,5.62E-06,-4.85E-06,0.02
1,0.97397,-1.04565,0.0199747,1.37E-07,6.63E-08,-1.50E-08,-1.27E-05,3.45E-07,3.27E-06,-1.47E-06,2.74E-06,-4.57E-06,0.02
1,-1.02906,-1.02158,0.0199745,3.87E-08,-4.29E-08,6.51E-09,-3.83E-07,1.34E-06,6.65E-07,1.29E-06,9.14E-07,-6.00E-06,0.02
1,-0.914397,-1.01862,0.0199743,4.35E-07,3.08E-07,5.06E-07,2.72E-06,-2.75E-06,-2.24E-06,1.27E-06,2.04E-05,-2.73E-05,0.02
1,-0.869969,-1.01201,0.019944,5.18E-07,-1.08E-07,5.19E-07,2.73E-05,-2.71E-05,-4.71E-06,1.88E-05,7.04E-06,-3.50E-05,0.02
1,-0.449703,-1.01174,0.0198422,5.12E-06,1.01E-06,8.91E-07,-2.07E-05,-3.23E-05,0.000139907,-4.79E-05,0.000127271,2.87E-05,0.02
1,-0.3832,-1.02329,0.034778,5.96E-06,5.14E-06,-1.55E-06,-0.000160092,-4.82E-05,0.000147033,-0.000104062,0.00011703,0.000114215,0.02
1,-0.340698,-1.02025,0.0199525,-2.89E-05,-2.40E-05,1.48E-06,-0.000379329,-0.000108147,0.000151599,0.000883457,-0.00107689,-0.0104376,0.02
1,0.17229,-1.01788,0.0199295,3.31E-07,-2.50E-07,5.95E-07,1.63E-05,-1.60E-05,-2.60E-06,8.83E-06,1.00E-05,-0.000102085,0.02
1,0.32342,-1.01601,0.0198852,-2.04E-07,-1.06E-06,1.22E-06,1.78E-05,-1.43E-05,6.82E-06,2.71E-05,8.72E-06,1.01E-05,0.02
1,0.504843,-1.02738,0.0391385,-7.83E-07,-4.09E-06,-1.27E-06,1.80E-05,8.53E-05,-1.05E-05,2.43E-05,1.06E-05,-3.42E-05,0.02
1,0.64184,-1.0171,0.0199742,2.56E-07,-5.65E-07,-5.25E-07,1.55E-05,-1.22E-05,-5.58E-06,1.01E-05,-1.29E-06,5.68E-05,0.02
1,1.3747,-1.01285,0.0199747,-4.57E-40,2.24E-40,-1.21E-14,5.30E-38,-2.59E-38,0,-5.13E-39,-1.05E-38,0.131793,0.02
1,-1.01942,-0.982773,0.0199749,1.21E-07,-7.93E-08,8.10E-08,4.55E-07,2.73E-06,1.44E-06,1.57E-06,-1.45E-06,3.83E-06,0.02
1,-0.979451,-0.983547,0.0199737,3.23E-07,5.11E-07,4.87E-07,4.40E-07,4.83E-07,-4.11E-07,-1.53E-05,-8.95E-06,2.77E-05,0.02
1,-0.939699,-0.987695,0.0199452,1.10E-06,1.06E-06,1.41E-06,-8.94E-07,-4.35E-06,-5.79E-06,-9.30E-06,8.44E-06,-8.63E-06,0.02
1,-0.846328,-0.979758,0.0199555,2.56E-06,-1.10E-06,2.35E-06,-1.74E-05,1.06E-05,-3.93E-05,5.61E-05,3.82E-05,-1.94E-05,0.02
1,-0.807831,-0.990468,0.019921,6.28E-06,2.06E-06,-2.56E-06,-7.27E-05,-5.22E-05,-2.08E-05,-6.05E-05,0.000257546,0.000198242,0.02
1,-0.706447,-1.0029,0.0199076,5.09E-06,-5.79E-07,-2.30E-06,-7.52E-05,5.66E-05,1.07E-05,-1.82E-05,7.93E-05,-0.000138512,0.02
1,-0.666494,-1.00201,0.019968,2.75E-06,-1.92E-06,-4.73E-07,-4.61E-05,6.52E-05,1.31E-05,7.19E-05,-6.70E-06,-9.21E-06,0.02
1,-0.567583,-1.00944,0.0199387,-4.38E-07,5.49E-06,3.71E-06,9.66E-05,-0.000119406,-2.55E-05,-0.000121833,3.74E-05,-0.000160277,0.02
1,-0.370829,-0.988326,0.0199217,2.90E-06,1.86E-06,-1.39E-07,-6.27E-05,-2.93E-06,0.000104132,-1.34E-05,-5.50E-06,-8.13E-05,0.02
1,-0.202588,-0.985189,0.0199109,2.03E-06,-2.25E-06,1.52E-06,-1.32E-05,9.32E-05,0.000111419,3.98E-05,8.33E-05,4.49E-05,0.02
1,-0.0607816,-1.0028,0.0198515,-1.04E-06,2.93E-07,1.95E-06,-7.42E-05,1.14E-06,5.31E-05,8.47E-08,1.25E-05,1.78E-05,0.02
1,0.12779,-0.980954,0.0197159,3.20E-06,1.02E-06,1.02E-06,5.00E-05,-1.69E-05,1.60E-05,-1.43E-05,8.86E-05,-0.000169577,0.02
1,0.358448,-0.996752,0.0199712,-3.04E-09,-1.51E-06,8.03E-07,1.38E-05,-1.67E-07,1.73E-06,1.42E-05,4.36E-07,-4.07E-05,0.02
1,0.441481,-0.978681,0.019799,3.85E-07,-2.50E-06,1.96E-07,1.88E-05,1.33E-05,-2.52E-05,8.61E-05,1.09E-05,2.79E-05,0.02
1,0.963102,-1.00716,0.0199747,1.62E-08,1.35E-08,-4.41E-09,1.72E-07,1.48E-06,6.37E-08,-2.91E-07,4.50E-07,9.26E-06,0.02
1,1.00179,-0.996714,0.0199747,3.46E-25,4.69E-26,-1.21E-14,3.34E-23,4.27E-24,0,-1.49E-24,1.10E-23,0.589683,0.02
1,-1.04993,-0.956938,0.0199719,1.65E-07,-6.26E-08,8.71E-08,1.75E-06,8.99E-06,5.74E-06,3.00E-06,2.45E-06,-7.40E-06,0.02
1,-0.741413,-0.964634,0.0199086,5.00E-06,-3.02E-07,1.54E-07,-9.95E-05,3.48E-05,-1.16E-05,-1.12E-05,0.000182831,-0.000137538,0.02
1,-0.513196,-0.959175,0.0198693,4.58E-06,3.29E-07,-1.50E-07,-1.35E-05,-1.50E-06,7.76E-05,-2.90E-06,0.000132656,-4.97E-05,0.02
1,-0.465003,-0.961492,0.0199533,4.37E-06,1.17E-06,-8.21E-07,-2.08E-05,-2.31E-05,0.000111856,-4.11E-05,8.25E-05,2.60E-05,0.02
1,-0.27576,-0.971048,0.0198555,2.75E-06,-2.54E-06,1.42E-06,1.17E-05,9.28E-05,0.000131593,4.47E-05,2.49E-05,-8.99E-06,0.02
1,-0.12236,-0.958544,0.019943,7.08E-07,-1.50E-06,-2.41E-07,-1.70E-05,7.16E-05,5.91E-05,4.66E-05,2.52E-05,1.23E-06,0.02
1,-0.0927655,-0.973564,0.0421751,5.48E-07,-2.67E-06,-1.73E-06,-6.17E-05,7.82E-05,8.93E-05,5.87E-05,-8.09E-06,5.80E-05,0.02
1,-0.0614937,-0.962871,0.0198903,-2.30E-07,-1.31E-07,1.53E-08,-2.94E-05,2.06E-05,2.46E-05,-5.41E-06,-1.62E-05,7.12E-06,0.02
1,-0.0232621,-0.974422,0.0198902,-5.10E-07,7.90E-08,1.03E-06,-4.62E-05,-2.67E-06,3.23E-05,-2.56E-05,-1.83E-05,-1.08E-05,0.02
1,0.563306,-0.947758,0.019973,1.16E-06,-1.50E-06,-1.03E-06,-1.19E-05,1.11E-05,3.79E-06,2.14E-05,2.81E-05,-1.26E-05,0.02
1,0.716002,-0.953384,0.0199747,-9.83E-29,1.28E-28,1.50E-14,1.38E-27,2.25E-27,0,-3.66E-27,-2.68E-27,0.116449,0.02
1,0.818936,-0.962477,0.0199059,-3.31E-07,4.36E-08,1.00E-07,3.98E-05,-1.06E-05,-3.33E-06,4.96E-06,-2.32E-05,1.72E-05,0.02
1,0.944644,-0.971404,0.0199744,-2.83E-07,1.85E-07,3.70E-07,-2.99E-06,8.21E-06,-9.20E-07,7.90E-07,-3.31E-06,-3.98E-07,0.02
1,1.03464,-0.966777,0.0199739,-1.87E-07,7.25E-09,1.36E-07,-1.79E-06,-4.96E-06,-5.13E-07,8.74E-07,-2.39E-06,1.22E-06,0.02
1,-0.977655,-0.943541,0.0199657,9.28E-07,2.39E-07,4.73E-07,8.58E-06,7.20E-06,4.57E-06,-5.26E-06,2.44E-05,2.84E-05,0.02
1,-0.9377,-0.942112,0.0199518,1.01E-06,6.86E-07,3.21E-07,1.26E-05,6.91E-06,1.74E-06,-6.65E-06,1.26E-05,-2.82E-05,0.02
1,-0.660132,-0.919634,0.0441229,1.28E-05,-3.57E-06,-2.41E-06,-0.000222038,0.000126733,4.97E-05,8.70E-05,6.02E-05,8.21E-05,0.02
1,-0.628391,-0.918631,0.019891,5.18E-06,-1.23E-06,-1.67E-06,-7.80E-05,3.42E-05,4.23E-05,5.10E-05,0.000106423,9.78E-06,0.02
1,-0.238787,-0.920257,0.0199747,-2.37E-41,-1.32E-41,-1.21E-14,6.45E-40,4.91E-40,0,3.47E-40,-6.32E-40,-0.0599608,0.02
1,-0.201904,-0.941785,0.0199065,2.36E-06,-1.88E-06,2.62E-06,3.08E-05,0.000122677,7.89E-05,2.50E-05,8.74E-05,3.66E-05,0.02
1,-0.0906856,-0.934166,0.0199735,2.82E-07,-5.17E-07,-2.35E-08,4.41E-06,1.29E-05,7.16E-06,1.17E-05,8.00E-06,2.27E-05,0.02
1,0.130063,-0.931808,0.0199744,3.21E-06,-7.39E-07,-9.77E-08,5.65E-05,-1.83E-05,-3.45E-06,9.35E-06,7.87E-05,3.98E-05,0.02
1,0.238545,-0.921208,0.0199702,2.33E-06,-5.94E-07,-4.78E-07,4.18E-05,-2.77E-06,-2.61E-05,-6.53E-06,3.86E-05,-0.000114487,0.02
1,0.273959,-0.939799,0.019814,1.44E-06,-1.44E-06,2.08E-06,3.66E-05,-1.38E-05,-1.39E-05,4.23E-05,3.81E-05,1.82E-05,0.02
1,0.407084,-0.916587,0.0198136,3.23E-07,-2.71E-06,1.11E-06,3.42E-05,2.27E-05,-3.61E-05,5.91E-05,5.89E-06,2.42E-05,0.02
1,0.514195,-0.920891,0.0199733,4.00E-07,-2.10E-06,-4.72E-07,7.31E-06,2.20E-05,-5.54E-06,4.66E-05,7.60E-06,4.31E-05,0.02
1,0.746327,-0.927822,0.0299575,-1.94E-07,-7.19E-07,-3.74E-07,5.77E-05,-7.84E-06,8.22E-06,4.69E-06,-1.27E-05,3.09E-06,0.02
1,0.850758,-0.938345,0.0199279,-2.38E-07,1.01E-06,6.14E-07,1.54E-05,1.45E-05,-3.01E-06,-2.75E-05,-2.06E-05,1.83E-05,0.02
1,1.031,-0.924464,0.0199739,-1.85E-07,-5.59E-08,4.49E-08,3.31E-06,-1.14E-06,-3.52E-06,-1.12E-06,-3.41E-06,5.46E-06,0.02
1,-1.10851,-0.911717,0.0199747,-1.15E-103,-1.06E-103,5.97E-15,1.03E-101,9.50E-102,0,2.54E-102,-2.76E-102,-4.90882,0.02
1,-0.810219,-0.897314,0.0199747,-1.73E-28,4.61E-28,-1.21E-14,-8.59E-27,2.29E-26,0,-1.38E-26,-5.18E-27,-0.0161785,0.02
1,-0.720511,-0.911231,0.0197924,5.03E-06,-8.24E-07,-2.29E-06,-9.11E-05,5.25E-05,6.24E-05,4.93E-05,0.000137335,-3.88E-05,0.02
1,-0.65511,-0.888356,0.0198389,4.64E-06,-1.72E-06,-4.53E-07,-5.79E-05,5.66E-05,1.26E-05,5.76E-05,0.000140046,0.000120105,0.02
1,-0.582078,-0.910331,0.0199581,2.32E-06,-1.65E-06,3.90E-07,-5.73E-06,3.01E-05,1.42E-05,2.94E-05,7.46E-05,-6.55E-06,0.02
1,-0.535346,-0.907999,0.019973,8.75E-07,-1.25E-06,-9.42E-07,1.57E-06,2.47E-06,1.27E-05,1.71E-05,1.25E-05,-2.46E-05,0.02
1,-0.437646,-0.883779,0.0199117,4.02E-06,-4.64E-07,-1.54E-06,-1.30E-05,2.60E-05,9.33E-05,-1.88E-05,9.02E-05,3.15E-06,0.02
1,-0.221696,-0.883276,0.0199371,1.08E-06,-1.42E-06,-1.59E-07,1.67E-06,8.28E-05,7.13E-05,-1.17E-05,9.36E-06,1.13E-05,0.02
1,-0.203675,-0.909788,0.0436955,2.93E-06,-7.04E-07,2.20E-06,5.00E-05,0.000228484,0.000172031,-5.37E-05,-9.74E-07,6.55E-05,0.02
1,0.110848,-0.89674,0.0199719,4.48E-06,-1.73E-06,1.20E-06,7.15E-05,-3.75E-05,9.83E-06,5.90E-05,5.01E-05,-0.000142814,0.02
